osmid,y,x,street_count,highway,ref,railway,geometry,gtfs_stop_count,degree_centrality
289725982,5328763.357813604,686814.2902165654,4,,,,POINT (686814.2902165654 5328763.357813604),0,0.0002850017812611329
1705659964,5328641.301689214,686701.6640102288,4,,,,POINT (686701.6640102288 5328641.301689214),0,0.0002850017812611329
1705660022,5328693.957233211,686856.2557842848,3,,,,POINT (686856.2557842848 5328693.957233211),0,0.00021375133594584968
1705400454,5328874.3353681015,686729.0025682732,4,,,,POINT (686729.0025682732 5328874.3353681015),0,0.0002850017812611329
1705279460,5331647.568395718,687223.4148460475,3,,,,POINT (687223.4148460475 5331647.568395718),0,0.00021375133594584968
1705279515,5331791.32279421,687260.533959056,3,,,,POINT (687260.533959056 5331791.32279421),0,0.00021375133594584968
263060943,5328335.4110796815,685682.9719794074,3,,,,POINT (685682.9719794074 5328335.4110796815),0,0.00021375133594584968
1700621708,5328392.760771942,685547.9410288498,3,,,,POINT (685547.9410288498 5328392.760771942),0,0.00021375133594584968
286454375,5328460.811572876,685738.129500543,3,,,,POINT (685738.129500543 5328460.811572876),2,0.00021375133594584968
286459385,5328221.878876772,685618.1012015599,3,,,,POINT (685618.1012015599 5328221.878876772),1,0.00021375133594584968
3605639961,5331843.984814298,694410.5797474264,3,,,,POINT (694410.5797474264 5331843.984814298),1,0.00021375133594584968
13741157779,5335163.974284038,701937.9488531118,3,,,,POINT (701937.9488531118 5335163.974284038),0,0.00021375133594584968
2004070820,5340322.901186569,693563.2131868118,3,,,,POINT (693563.2131868118 5340322.901186569),0,0.00021375133594584968
1653751783,5340263.103805006,694011.8954965243,3,,,,POINT (694011.8954965243 5340263.103805006),0,0.00021375133594584968
2613153257,5340430.214964356,692708.6720413928,4,,,,POINT (692708.6720413928 5340430.214964356),0,0.0002850017812611329
265086232,5335616.666753514,692033.7632019275,3,,,,POINT (692033.7632019275 5335616.666753514),0,0.00021375133594584968
1002798325,5335631.615020892,691977.6082939352,3,,,,POINT (691977.6082939352 5335631.615020892),0,0.00021375133594584968
265778669,5338297.927561081,690527.7582717965,1,turning_circle,,,POINT (690527.7582717965 5338297.927561081),0,7.125044531528322e-05
267162988,5338179.186006302,690540.3070255823,3,,,,POINT (690540.3070255823 5338179.186006302),0,0.00021375133594584968
1646252419,5339021.317594175,690853.8958140645,3,,,,POINT (690853.8958140645 5339021.317594175),0,0.00021375133594584968
265779954,5339034.647215336,690813.9502027393,3,,,,POINT (690813.9502027393 5339034.647215336),0,0.00021375133594584968
266641862,5331553.592503094,698189.5457507749,3,,,,POINT (698189.5457507749 5331553.592503094),0,0.00021375133594584968
5173018295,5331799.583169189,698119.4328745278,3,,,,POINT (698119.4328745278 5331799.583169189),0,0.00021375133594584968
266641864,5331603.077227984,698084.1952750843,1,,,,POINT (698084.1952750843 5331603.077227984),0,7.125044531528322e-05
